"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"318","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell 205","15"
"319","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"UH-1H","17"
"320","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 180","6"
"321","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 210","2"
"322","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 310","1"
"323","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"DHC-2","5"
"324","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"U-17A/B","15"
"325","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","5"
"326","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"RT-33","3"
"327","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-41D Mescalero","20"
"328","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF- 260MP","14"
"329","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF-260WP","9"
"330","oman","1991","royal household","royal flight","aircraft",NA,"TPT","PAX","Gulfstream IV","2"
"331","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","medium","Mi-8 Hip/Mi-17 Hip H","60"
"332","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","medium","Z-5","30"
"333","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","light","PZL Mi-2 Hoplite","100"
"334","korea, dpr of","1991","air force",NA,"surface-to-surface missile launchers","missiles","TOWED","","S-75 Dvina (SA-2 Guideline)","72"
"335","korea, dpr of","1991","air force",NA,"surface-to-surface missile launchers","missiles","TOWED","","S-125 Pechora (SA-3 Goa)","32"
"336","korea, dpr of","1991","air force",NA,"air defence",NA,"STATIC/SHELTER",NA,"S-200 (SA-5 Gammon)","72"
"337","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","medium","Mi-8 Hip/Mi-17 Hip H","60"
"338","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","medium","Z-5","30"
"339","korea, dpr of","1991","air force",NA,"helicopters",NA,"TPT","light","PZL Mi-2 Hoplite","100"
"340","korea, dpr of","1991","air force",NA,"surface-to-surface missile launchers","missiles","TOWED","","S-75 Dvina (SA-2 Guideline)","72"
"341","korea, dpr of","1991","air force",NA,"surface-to-surface missile launchers","missiles","TOWED","","S-125 Pechora (SA-3 Goa)","32"
"342","korea, dpr of","1991","air force",NA,"air defence",NA,"STATIC/SHELTER",NA,"S-200 (SA-5 Gammon)","72"
"343","india","1992","air force",NA,"aircraft",NA,"TPT",NA,"BAe-748","16"
