"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"134","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","T-65 (M114)","250"
"135","taiwan","1991","army",NA,"artillery",NA,"TOWED","203mm","M115","70"
"136","taiwan","1991","army",NA,"artillery",NA,"SP","105mm","M108","100"
"137","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","T-69","45"
"138","taiwan","1991","army",NA,"artillery",NA,"SP","155mm","M109A2/A5","110"
"139","taiwan","1991","army",NA,"artillery",NA,"SP","203mm","M110","60"
"140","taiwan","1991","army",NA,"anti-tank/anti-infrastructure","RCL",NA,"106mm","M40A1/Type 51","500"
"141","taiwan","1991","army",NA,"artillery","GUNS",NA,"76mm","M-18 SP","150"
"142","taiwan","1991","army",NA,"artillery","GUNS",NA,"40mm","M-42 SP, Bofors","400"
"143","taiwan","1991","army",NA,"aircraft",NA,"UTL",NA,"O-1","20"
"144","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Lung","2"
"145","taiwan","1991","navy",NA,"submarines",NA,"SSK","tactical","Hai Shih","2"
"146","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Po Yang","6"
"147","taiwan","1991","navy",NA,"principal surface combatants","destroyers","DD",NA,"Kun Yangg","4"
"148","taiwan","1991","navy",NA,"principal surface combatants","frigates","FF",NA,"Tai Yuan","1"
"149","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Lung Chiang","2"
"150","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Hai Ou","50"
"151","taiwan","1991","navy",NA,"patrol and coastal combatants",NA,"PFM",NA,"Ping Jin","3"
"152","taiwan","1991","navy",NA,"mine warfare",NA,"MSC",NA,"Yung Chou","8"
"153","taiwan","1991","navy",NA,"amphibious",NA,"LCC",NA,"Kao Hsiung","1"
"154","taiwan","1991","navy",NA,"amphibious","landing ships","LSM",NA,"Mei Lo","4"
"155","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2E Tracker","25"
"156","taiwan","1991","navy","naval aviation","aircraft",NA,"MR",NA,"S-2G Tracker","7"
"157","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5B","8"
"158","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-5F","55"
